Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
njhousing.gov,State or territory,Non-Federal Agency,New Jersey Housing and Mortgage Finance Agency,,, 
njhousingresourcecenter.gov,State or territory,Non-Federal Agency,NJHMFA,,, 
njhrc.gov,State or territory,Non-Federal Agency,NJHMFA,,, 
njhumantrafficking.gov,State or territory,Non-Federal Agency,"State of New Jersey, Dept. of Law & Pub. Safety, Office of the Attorney General",,, 
njib.gov,State or territory,Non-Federal Agency,New Jersey Infrastructure Bank (I-Bank),,, 
njleg.gov,State or territory,Non-Federal Agency,NJ Office of Legislative Services,,, 
njmedicalboard.gov,State or territory,Non-Federal Agency,"State of New Jersey, Dept. of Law & Pub. Safety, Office of the Attorney General",,, 
njmvc.gov,State or territory,Non-Federal Agency,New Jersey Motor Vehicle Commission,,, 
njoag.gov,State or territory,Non-Federal Agency,"State of NJ, Office of the Attorney General",,, 
njohsp.gov,State or territory,Non-Federal Agency,New Jersey Office of Homeland Security and Preparedness,,, 
njoneapp.gov,State or territory,Non-Federal Agency,Division of Family Development,,, 
njpaad.gov,State or territory,Non-Federal Agency,"NJ Department of Human Services, DoAS",,, 
njsda.gov,State or territory,Non-Federal Agency,New Jersey Schools Development Authority (NJSDA),,, 
njsecurities.gov,State or territory,Non-Federal Agency,New Jersey Bureau of Securities,,, 
njseniorgold.gov,State or territory,Non-Federal Agency,"NJ Department of Human Services, DoAS",,, 
njsnap-ed.gov,State or territory,Non-Federal Agency,"New Jersey Department of Human Services, Division of Family Development",,, 
njsnap.gov,State or territory,Non-Federal Agency,Division of Family Development,,, 
njsrgold.gov,State or territory,Non-Federal Agency,"NJ Department of Human Services, DoAS",,, 
njstart.gov,State or territory,Non-Federal Agency,"Dept of Treasury, Division of Purchase and Property",,, 
nmag.gov,State or territory,Non-Federal Agency,New Mexico Attorey General's Office,,, 
nmcourts.gov,State or territory,Non-Federal Agency,Judicial Information Division,,, 
nmdataxchange.gov,State or territory,Non-Federal Agency,Judicial Information Division,,, 
nm.gov,State or territory,Non-Federal Agency,State of New Mexico,,, 
nmlegis.gov,State or territory,Non-Federal Agency,NM-Legislative Council Service,,, 
nmsto.gov,State or territory,Non-Federal Agency,New Mexico State Treasurer's Office,,, 
noexcusesc.gov,State or territory,Non-Federal Agency,South Carolina State Election Commission,,, 
nomasfraudecolorado.gov,State or territory,Non-Federal Agency,Colorado Department of Law,,, 
northcarolina.gov,State or territory,Non-Federal Agency,State of North Carolina,,, 
north-dakota.gov,State or territory,Non-Federal Agency,"State of ND, ITD",,, 
northdakota.gov,State or territory,Non-Federal Agency,"State of ND, ITD",,, 
nv529.gov,State or territory,Non-Federal Agency,Nevada State Treasurer's Office,,, 
nvagomla.gov,State or territory,Non-Federal Agency,NV Office of the Attorney General,,, 
nvcogct.gov,State or territory,Non-Federal Agency,Naugatuck Valley Council of Governments,,, 
nvcourts.gov,State or territory,Non-Federal Agency,Supreme Court of Nevada,,, 
nvdpspub.gov,State or territory,Non-Federal Agency,Nevada Department of Public Safety,,, 
nvease.gov,State or territory,Non-Federal Agency,Nevada Secretary of State,,, 
nvggms.gov,State or territory,Non-Federal Agency,Nevada State Treasurer,,, 
nv.gov,State or territory,Non-Federal Agency,"State of Nevada, Department of Information Technology",,, 
nvigate.gov,State or territory,Non-Federal Agency,Office of the State Treasurer,,, 
nvprepaid.gov,State or territory,Non-Federal Agency,Nevada State Treasurer,,, 
nvsexoffenders.gov,State or territory,Non-Federal Agency,State of Nevada,,, 
nvsilverflume.gov,State or territory,Non-Federal Agency,Nevada Secretary of State,,, 
nvsos.gov,State or territory,Non-Federal Agency,Nevada Secretary of State,,, 
nyassembly.gov,State or territory,Non-Federal Agency,New York State Assembly,,, 
nycourthelp.gov,State or territory,Non-Federal Agency,NYS Unified Court System Division of Technology,,, 
nycourts.gov,State or territory,Non-Federal Agency,NYS Unified Court System Division of Technology,,, 
ny.gov,State or territory,Non-Federal Agency,State of New York,,, 
oralert.gov,State or territory,Non-Federal Agency,State of Oregon,,, 
orangebeachal.gov,State or territory,Non-Federal Agency,City of Orange Beach,,, 
oregonattorneygeneral.gov,State or territory,Non-Federal Agency,Oregon Department of Justice,,, 
oregonbenefitsonline.gov,State or territory,Non-Federal Agency,Oregon State Data Center,,, 
oregonbuys.gov,State or territory,Non-Federal Agency,Oregon State Data Center,,, 
oregonchildsupport.gov,State or territory,Non-Federal Agency,Oregon Department of Justice,,, 
oregonconsumer.gov,State or territory,Non-Federal Agency,Oregon State Data Center ETS,,, 
oregon.gov,State or territory,Non-Federal Agency,State of Oregon,,, 
oregonhealthcare.gov,State or territory,Non-Federal Agency,Enterprise Technology Services,,, 
oregonlegislature.gov,State or territory,Non-Federal Agency,Oregon State Data Center,,, 
oregonmetro.gov,State or territory,Non-Federal Agency,Metro,,, 
oregonsaves.gov,State or territory,Non-Federal Agency,State of Oregon,,, 
oregonstudentaid.gov,State or territory,Non-Federal Agency,Oregon State Data Center,,, 
oregonvotes.gov,State or territory,Non-Federal Agency,Oregon State Data Center,,, 
or.gov,State or territory,Non-Federal Agency,Oregon State Data Center,,, 
orhealthcare.gov,State or territory,Non-Federal Agency,Enterprise Technology Services,,, 
or-medicaid.gov,State or territory,Non-Federal Agency,State of Oregon,,, 
outdoornebraska.gov,State or territory,Non-Federal Agency,State of Nebraska,,, 
pa529able.gov,State or territory,Non-Federal Agency,PA Treasury,,, 
pa529.gov,State or territory,Non-Federal Agency,PA Treasury,,, 
paable.gov,State or territory,Non-Federal Agency,PA Treasury,,, 
paauditor.gov,State or territory,Non-Federal Agency,Pennsylvania Department of the Auditor General,,, 
pacodeandbulletin.gov,State or territory,Non-Federal Agency,Legislative Reference Bureau,,, 
padillabay.gov,State or territory,Non-Federal Agency,Padilla Bay National Estuarine Research Reserve,,, 
pa.gov,State or territory,Non-Federal Agency,Commonwealth of Pennsylvania,,, 
pahouse.gov,State or territory,Non-Federal Agency,Pennsylvania Legislative Data Processing Center,,, 
painvest.gov,State or territory,Non-Federal Agency,Pennsylvania Treasury,,, 
pakeystonescholars.gov,State or territory,Non-Federal Agency,PA Treasury,,, 
palrb.gov,State or territory,Non-Federal Agency,Legislative Reference Bureau,,, 
partnersforhealthtn.gov,State or territory,Non-Federal Agency,State of Tennessee,,, 
pasenate.gov,State or territory,Non-Federal Agency,Senate of Pennsylvania,,, 
pasen.gov,State or territory,Non-Federal Agency,Senate of Pennsylvania,,, 
patreasury.gov,State or territory,Non-Federal Agency,Pennsylvania Treasury,,, 
visitwyo.gov,State or territory,Non-Federal Agency,State of Wyoming ,,, 
visitwyoming.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
vivote.gov,State or territory,Non-Federal Agency,Election System of the Virgin Islands,,, 
volunteerlouisiana.gov,State or territory,Non-Federal Agency,"Department of Culture, Recreation and Tourism",,, 
volunteermaine.gov,State or territory,Non-Federal Agency,"Volunteer Maine, the Maine Commission for Community Service",,, 
voteidaho.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",,, 
voteohio.gov,State or territory,Non-Federal Agency,State of Ohio,,, 
votetexas.gov,State or territory,Non-Federal Agency,Texas Secretary of State,,, 
votewa.gov,State or territory,Non-Federal Agency,Washington Secretary of State,,, 
vtalert.gov,State or territory,Non-Federal Agency,Vermont Department of Information & Innovation,,, 
vt.gov,State or territory,Non-Federal Agency,Vermont Department of Information and Innovation on behalf of Vermont Secretary of State,,, 
wa.gov,State or territory,Non-Federal Agency,State of Washington - Consolidated Technology Services,,, 
westvirginia.gov,State or territory,Non-Federal Agency,West Virginia Department of Commerce,,, 
wibadgertracs.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wiconnections2030.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wicourts.gov,State or territory,Non-Federal Agency,Wisconsin Supreme Court,,, 
widatcp.gov,State or territory,Non-Federal Agency,"Wisconsin Department of Agriculture, Trade, and Consumer Protection",,, 
widoc.gov,State or territory,Non-Federal Agency,Wisconsin Department of Corrections,,, 
widoj.gov,State or territory,Non-Federal Agency,Wisconsin Department of Justice,,, 
wi.gov,State or territory,Non-Federal Agency,State of Wisconsin,,, 
wigrants.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wilawlibrary.gov,State or territory,Non-Federal Agency,Wisconsin State Law Library,,, 
wildohio.gov,State or territory,Non-Federal Agency,State of Ohio,,, 
wisc.gov,State or territory,Non-Federal Agency,State of Wisconsin,,, 
wisconsincrimealert.gov,State or territory,Non-Federal Agency,Wisconsin Department of Administration,,, 
wisconsindmv.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wisconsindot.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wisconsinfreightplan.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wisconsin.gov,State or territory,Non-Federal Agency,State of Wisconsin,,, 
wisconsinrailplan.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wisconsinroundabouts.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
wisdotplans.gov,State or territory,Non-Federal Agency,WisDOT - Division of Business Management,,, 
wispd.gov,State or territory,Non-Federal Agency,Wisconsin State Public Defenders,,, 
wmata.gov,State or territory,Non-Federal Agency,Washignton Metropoltan Area Transit Authority,,, 
workforcetn.gov,State or territory,Non-Federal Agency,State of Tennessee,,, 
wsdot.gov,State or territory,Non-Federal Agency,Washington State Department of Transportation,,, 
wv457.gov,State or territory,Non-Federal Agency,Office of the State Treasurer,,, 
wvago.gov,State or territory,Non-Federal Agency,West Virginia Attorney General's Office,,, 
wvcheckbook.gov,State or territory,Non-Federal Agency,West Virginia State Auditor's Office,,, 
wvconsumerprotection.gov,State or territory,Non-Federal Agency,West Virginia Attorney General's Office,,, 
wvcsi.gov,State or territory,Non-Federal Agency,WV Legislature,,, 
wvdnr.gov,State or territory,Non-Federal Agency,West Virginia Division of Natural Resources,,, 
wv.gov,State or territory,Non-Federal Agency,State of West Virginia,,, 
wvhouse.gov,State or territory,Non-Federal Agency,West Virginia House of Delegates,,, 
wvinsurance.gov,State or territory,Non-Federal Agency,West Virginia Insurance Commission,,, 
wvlegislature.gov,State or territory,Non-Federal Agency,West Virginia Legislature,,, 
wvoasis.gov,State or territory,Non-Federal Agency,West Virginia ERP Board,,, 
wvot.gov,State or territory,Non-Federal Agency,WV Office of Technology,,, 
wvpresident.gov,State or territory,Non-Federal Agency,WVNET,,, 
wvpurchasing.gov,State or territory,Non-Federal Agency,West Virginia Purchasing Division,,, 
wvrevenue.gov,State or territory,Non-Federal Agency,State of West Virginia,,, 
wvsao.gov,State or territory,Non-Federal Agency,West Virginia State Auditor's Office,,, 
wvsenate.gov,State or territory,Non-Federal Agency,West Virginia State Senators,,, 
wvseniorservices.gov,State or territory,Non-Federal Agency,WV Bureau of Senior Services,,, 
wvsos.gov,State or territory,Non-Federal Agency,West Virginia Secretary of State,,, 
wvspeaker.gov,State or territory,Non-Federal Agency,WVNET,,, 
wvsp.gov,State or territory,Non-Federal Agency,West Virginia State Police,,, 
wvsto.gov,State or territory,Non-Federal Agency,State of West Virginia,,, 
wvsurplus.gov,State or territory,Non-Federal Agency,West Virginia State Agency for Surplus Property,,, 
wvtax.gov,State or territory,Non-Federal Agency,State of West Virginia,,, 
wycampaignfinance.gov,State or territory,Non-Federal Agency,State Of  Wyoming,,, 
wycandidatefiling.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wy.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wyoboards.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wyo.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wyoleg.gov,State or territory,Non-Federal Agency,Wyoming Legislative Service Office,,, 
wyoming.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wyominglmi.gov,State or territory,Non-Federal Agency,State of wyoming,,, 
wyomingofficeoftourism.gov,State or territory,Non-Federal Agency,State Of  Wyoming,,, 
wyomingsense.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wyopen.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
wyoreg.gov,State or territory,Non-Federal Agency,State Of wyoming,,, 
zerodeathsmd.gov,State or territory,Non-Federal Agency,Maryland Highway Safety Office,,, 
zeroinwisconsin.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
29palmsbomi-nsn.gov,Tribal,Non-Federal Agency,Twenty-Nine Palms Band of Mission Indians,,, 
29palmsgaming-nsn.gov,Tribal,Non-Federal Agency,Twenty-Nine Palms Band of Mission Indians,,, 
absenteeshawneetribe-nsn.gov,Tribal,Non-Federal Agency,Absentee Shawnee Tribe of Indians of Oklahoma,,, 
aguacaliente-nsn.gov,Tribal,Non-Federal Agency,Agua Caliente Band of Cahuilla Indians,,, 
aha-nsn.gov,Tribal,Non-Federal Agency,Akwesasne Housing Authority,,, 
ak-chin-nsn.gov,Tribal,Non-Federal Agency,Ak-Chin Indian Community,,, 
augustinetribe-nsn.gov,Tribal,Non-Federal Agency,Augustine Band of Cahuilla Indians,,, 
badriver-nsn.gov,Tribal,Non-Federal Agency,Bad River Band Of Lake Superior Tribe Of Chippewa Indians,,, 
estoo-nsn.gov,Tribal,Non-Federal Agency,Eastern Shawnee Tribe of Oklahoma,,, 
eyak-nsn.gov,Tribal,Non-Federal Agency,Native Village of Eyak,,, 
fcp-nsn.gov,Tribal,Non-Federal Agency,Forest County Potawatomi Community,,, 
fcpotawatomi-nsn.gov,Tribal,Non-Federal Agency,Forest County Potawatomi Community,,, 
fortsillapache-nsn.gov,Tribal,Non-Federal Agency,Fort Sill Apache Tribe,,, 
glt-nsn.gov,Tribal,Non-Federal Agency,Gun Lake Tribe,,, 
gunlaketribe-nsn.gov,Tribal,Non-Federal Agency,Gun Lake Tribe,,, 
hannahvillepotawatomi-nsn.gov,Tribal,Non-Federal Agency,Hannahville Indian Community,,, 
nfriha-nsn.gov,Tribal,Non-Federal Agency,North Fork Rancheria,,, 
nfr-nsn.gov,Tribal,Non-Federal Agency,North Fork Rancheria,,, 
nhbp-nsn.gov,Tribal,Non-Federal Agency,Nottawaseppi Huron Band of the Potawatomi,,, 
ninilchiktribe-nsn.gov,Tribal,Non-Federal Agency,Ninilchik Tribe ,,, 
nisqually-nsn.gov,Tribal,Non-Federal Agency,Nisqually Tribal Council,,, 
nooksack-nsn.gov,Tribal,Non-Federal Agency,Nooksack Indian Tribe,,, 
northforkrancheria-nsn.gov,Tribal,Non-Federal Agency,North Fork Rancheria,,, 
nvb-nsn.gov,Tribal,Non-Federal Agency,Native Village of Barrow,,, 
osagecongress-nsn.gov,Tribal,Non-Federal Agency,Osage Nation Congress,,, 
osagecourts-nsn.gov,Tribal,Non-Federal Agency,Osage Nation Judicial Branch,,, 
osagenation-nsn.gov,Tribal,Non-Federal Agency,Osage Nation,,, 
pascuayaqui-nsn.gov,Tribal,Non-Federal Agency,Pascua Yaqui Tribe,,, 
paskenta-nsn.gov,Tribal,Non-Federal Agency,Paskenta Band Of Nomlaki Indians,,, 
pauma-nsn.gov,Tribal,Non-Federal Agency,Pauma Band of Mission Indians,,, 
pci-nsn.gov,Tribal,Non-Federal Agency,Poarch Band of Creek Indians,,, 
pinoleville-nsn.gov,Tribal,Non-Federal Agency,Pinoleville Pomo Nation,,, 
poarchcreekindians-nsn.gov,Tribal,Non-Federal Agency,Poarch Band of Creek Indians,,, 
pokagonband-nsn.gov,Tribal,Non-Federal Agency,Pokagon Band of Potawatomi Indians,,, 
pol-nsn.gov,Tribal,Non-Federal Agency,Pueblo of Laguna,,, 
wakpamnilake-nsn.gov,Tribal,Non-Federal Agency,Wakpamni Lake Community,,, 
wampanoagtribe-nsn.gov,Tribal,Non-Federal Agency,Wampanoag Tribe of Gay Head (Aquinnah),,, 
whiteearth-nsn.gov,Tribal,Non-Federal Agency,White Earth Reservation Tribal Council,,, 
wiltonrancheria-nsn.gov,Tribal,Non-Federal Agency,Wilton Rancheria,,, 
wyandotte-nation-nsn.gov,Tribal,Non-Federal Agency,Wyandotte Nation,,, 
yakamafish-nsn.gov,Tribal,Non-Federal Agency,Yakama Nation Fisheries Resource Management,,, 
yakamanation-nsn.gov,Tribal,Non-Federal Agency,Confederated Tribes and Bands of the Yakama Nation,,, 
ydsp-nsn.gov,Tribal,Non-Federal Agency,Ysleta Del Sur Pueblo,,, 
yochadehe-nsn.gov,Tribal,Non-Federal Agency,Yocha Dehe Wintun Nation,,, 
ypt-nsn.gov,Tribal,Non-Federal Agency,Yerington Paiute Tribe,,, 
